电影排名,电影名称,电影年份,国家,电影类型,导演,经典影评,评论数,评分,电影网址
42,猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情, 史蒂文·斯皮尔伯格 Steven Spielberg,骗子大师和执著警探的你追我跑故事。 ,1095010人评价,9.1,https://movie.douban.com/subject/1305487/
43,海蒂和爷爷,2015,德国 瑞士,剧情 冒险 家庭, 阿兰·葛斯彭纳 Alain Gsponer,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,676373人评价,9.3,https://movie.douban.com/subject/25958717/
44,天空之城,1986,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,对天空的追逐，永不停止。 ,931799人评价,9.2,https://movie.douban.com/subject/1291583/
45,鬼子来了,2000,中国大陆,剧情 喜剧, 姜文 Wen Jiang,对敌人的仁慈，就是对自己残忍。,659923人评价,9.3,https://movie.douban.com/subject/1291858/
46,少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险, 李安 Ang Lee,瑰丽壮观、无人能及的冒险之旅。,1403445人评价,9.1,https://movie.douban.com/subject/1929463/
47,钢琴家,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐, 罗曼·波兰斯基 Roman Polanski,音乐能化解仇恨。,683618人评价,9.3,https://movie.douban.com/subject/1296736/
48,指环王2：双塔奇兵,2002,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,承前启后的史诗篇章。,793240人评价,9.2,https://movie.douban.com/subject/1291572/
49,大话西游之月光宝盒,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau,旷古烁今。,1273567人评价,9,https://movie.douban.com/subject/1299398/
50,闻香识女人,1992,美国,剧情, 马丁·布莱斯 Martin Brest,史上最美的探戈。,938719人评价,9.1,https://movie.douban.com/subject/1298624/
51,死亡诗社,1989,美国,剧情, 彼得·威尔 Peter Weir,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,782155人评价,9.2,https://movie.douban.com/subject/1291548/
52,绿皮书,2018,美国 中国大陆,剧情 喜剧 传记 音乐, 彼得·法雷里 Peter Farrelly,去除成见，需要勇气。,1739490人评价,8.9,https://movie.douban.com/subject/27060077/
53,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装, 万籁鸣 Laiming Wan,经典之作，历久弥新。,465238人评价,9.4,https://movie.douban.com/subject/1418019/
54,罗马假日,1953,美国,喜剧 剧情 爱情, 威廉·惠勒 William Wyler,爱情哪怕只有一天。,987356人评价,9.1,https://movie.douban.com/subject/1293839/
55,黑客帝国,1999,美国,动作 科幻, 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,视觉革命。,878212人评价,9.1,https://movie.douban.com/subject/1291843/
56,指环王1：护戒使者,2001,新西兰 美国,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,传说的开始。,890231人评价,9.1,https://movie.douban.com/subject/1291571/
57,天堂电影院,1988,意大利 法国,剧情 爱情, 朱塞佩·托纳多雷 Giuseppe Tornatore,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,702956人评价,9.2,https://movie.douban.com/subject/1291828/
58,教父2,1974,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,优雅的孤独。,584868人评价,9.3,https://movie.douban.com/subject/1299131/
59,狮子王,1994,美国,动画 冒险 歌舞, Roger Allers / 罗伯·明可夫 Rob Minkoff,动物版《哈姆雷特》。,889606人评价,9.1,https://movie.douban.com/subject/1301753/
60,辩护人,2013,韩国,剧情, 杨宇硕 Woo-seok Yang,电影的现实意义大过电影本身。,618007人评价,9.2,https://movie.douban.com/subject/21937445/
61,饮食男女,1994,中国台湾 美国,剧情 家庭, 李安 Ang Lee,人生不能像做菜，把所有的料都准备好了才下锅。,657125人评价,9.2,https://movie.douban.com/subject/1291818/
62,搏击俱乐部,1999,美国,剧情 动作 悬疑 惊悚, 大卫·芬奇 David Fincher,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,891915人评价,9,https://movie.douban.com/subject/1292000/
63,本杰明·巴顿奇事,2008,美国,剧情 爱情 奇幻, 大卫·芬奇 David Fincher,在时间之河里感受溺水之苦。,1031702人评价,9,https://movie.douban.com/subject/1485260/
64,美丽心灵,2001,美国,传记 剧情, 朗·霍华德 Ron Howard,爱是一切逻辑和原由。,803786人评价,9.1,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,2008,英国 美国,剧情 战争, 马克·赫尔曼 Mark Herman,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,597036人评价,9.2,https://movie.douban.com/subject/3008247/
66,窃听风暴,2006,德国,剧情 悬疑, 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck??&n...,别样人生。,591830人评价,9.2,https://movie.douban.com/subject/1900841/
67,情书,1995,日本,剧情 爱情, 岩井俊二 Shunji Iwai,暗恋的极致。,1181414人评价,8.9,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,1998,英国,剧情 喜剧 犯罪, 盖·里奇 Guy Ritchie,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,625787人评价,9.1,https://movie.douban.com/subject/1293350/
69,西西里的美丽传说,2000,意大利 美国,剧情 战争 情色, 朱塞佩·托纳多雷 Giuseppe Tornatore,美丽无罪。,1023158人评价,8.9,https://movie.douban.com/subject/1292402/
70,音乐之声,1965,美国,剧情 传记 爱情 歌舞, 罗伯特·怀斯 Robert Wise,用音乐化解仇恨，让歌声串起美好。,633772人评价,9.1,https://movie.douban.com/subject/1294408/
71,看不见的客人,2016,西班牙,剧情 犯罪 悬疑 惊悚, 奥里奥尔·保罗 Oriol Paulo,你以为你以为的就是你以为的。,1338746人评价,8.8,https://movie.douban.com/subject/26580232/
72,哈利·波特与死亡圣器(下),2011,美国 英国,奇幻 冒险, 大卫·叶茨 David Yates,10年的完美句点。,879522人评价,9,https://movie.douban.com/subject/3011235/
73,阿凡达,2009,美国,动作 科幻 冒险, 詹姆斯·卡梅隆 James Cameron,绝对意义上的美轮美奂。,1481149人评价,8.8,https://movie.douban.com/subject/1652587/
74,拯救大兵瑞恩,1998,美国,剧情 战争, 史蒂文·斯皮尔伯格 Steven Spielberg,美利坚精神输出大片No1.,677618人评价,9.1,https://movie.douban.com/subject/1292849/
75,小鞋子,1997,伊朗,剧情 儿童 家庭, 马基德·马基迪 Majid Majidi,奔跑的孩子是天使。,431345人评价,9.2,https://movie.douban.com/subject/1303021/
76,飞越疯人院,1975,美国,剧情, 米洛斯·福尔曼 Milo? Forman,自由万岁。,570005人评价,9.1,https://movie.douban.com/subject/1292224/
77,功夫,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻, 周星驰 Stephen Chow,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,1211289人评价,8.8,https://movie.douban.com/subject/1291543/
78,沉默的羔羊,1991,美国,剧情 犯罪 惊悚, 乔纳森·戴米 Jonathan Demme,安东尼·霍普金斯的顶级表演。,939279人评价,8.9,https://movie.douban.com/subject/1293544/
79,布达佩斯大饭店,2014,美国 德国 英国,剧情 喜剧 冒险, 韦斯·安德森 Wes Anderson,小清新的故事里注入了大历史的情怀。,997375人评价,8.9,https://movie.douban.com/subject/11525673/
80,禁闭岛,2010,美国,剧情 悬疑 惊悚, Martin Scorsese,昔日翩翩少年，今日大腹便便。,1031032人评价,8.9,https://movie.douban.com/subject/2334904/
81,蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚, 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,人的命运被自己瞬间的抉择改变。,986560人评价,8.9,https://movie.douban.com/subject/1292343/
82,哈利·波特与阿兹卡班的囚徒,2004,英国 美国,奇幻 冒险, Alfonso Cuarón,不一样的导演，不一样的哈利·波特。,783625人评价,9,https://movie.douban.com/subject/1291544/
83,致命魔术,2006,英国 美国,剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,孪生蝙蝠侠大战克隆金刚狼。,901892人评价,8.9,https://movie.douban.com/subject/1780330/
84,心灵捕手,1997,美国,剧情, 格斯·范·桑特 Gus Van Sant,人生中应该拥有这样的一段豁然开朗。,757249人评价,9,https://movie.douban.com/subject/1292656/
85,超脱,2011,美国,剧情, 托尼·凯耶 Tony Kaye,穷尽一生，我们要学会的，不过是彼此拥抱。,651716人评价,9,https://movie.douban.com/subject/5322596/
86,低俗小说,1994,美国,剧情 喜剧 犯罪, 昆汀·塔伦蒂诺 Quentin Tarantino,故事的高级讲法。,882377人评价,8.9,https://movie.douban.com/subject/1291832/
87,摩登时代,1936,美国,剧情 喜剧 爱情, 查理·卓别林 Charles Chaplin,大时代中的人生，小人物的悲喜。,319031人评价,9.3,https://movie.douban.com/subject/1294371/
88,春光乍泄,1997,中国香港 日本 韩国,剧情 爱情 同性, 王家卫 Kar Wai Wong,爱情纠缠，男女一致。,663712人评价,9,https://movie.douban.com/subject/1292679/
89,海豚湾,2009,美国,纪录片, 路易·西霍尤斯 Louie Psihoyos,海豚的微笑，是世界上最高明的伪装。,367526人评价,9.3,https://movie.douban.com/subject/3442220/
90,喜剧之王,1999,中国香港,喜剧 剧情 爱情, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,我是一个演员。,1015946人评价,8.8,https://movie.douban.com/subject/1302425/
91,美国往事,1984,美国 意大利,犯罪 剧情, 赛尔乔·莱翁内 Sergio Leone,往事如烟，无处祭奠。,436060人评价,9.2,https://movie.douban.com/subject/1292262/
92,致命ID,2003,美国,剧情 悬疑 惊悚, 詹姆斯·曼高德 James Mangold,最不可能的那个人永远是最可能的。,872786人评价,8.9,https://movie.douban.com/subject/1297192/
93,杀人回忆,2003,韩国,剧情 动作 犯罪 悬疑 惊悚, 奉俊昊 Joon-ho Bong,关于连环杀人悬案的集体回忆。,762892人评价,8.9,https://movie.douban.com/subject/1300299/
94,哈利·波特与密室,2002,英国 美国,奇幻 冒险, Chris Columbus,魔法的密室之门已打开...,810864人评价,8.9,https://movie.douban.com/subject/1296996/
95,红辣椒,2006,日本,动画 悬疑 科幻 惊悚, 今敏 Satoshi Kon,梦的勾结。,506149人评价,9.1,https://movie.douban.com/subject/1865703/
96,加勒比海盗,2003,美国,动作 冒险 奇幻, 戈尔·维宾斯基 Gore Verbinski,约翰尼·德普的独角戏。,902047人评价,8.8,https://movie.douban.com/subject/1298070/
